system:index,count,hotspot,.geo
+15874+65765,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.039668904444039,41.594043425426136]}"
+15874+66284,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.039985134408271,41.92229012829916]}"
+15876+66313,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.0412500542652,41.94063146622463]}"
+15877+65765,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.041882514193665,41.594043425426136]}"
+15877+66214,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.041882514193665,41.87801793330665]}"
+15877+66295,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.041882514193665,41.929247187512274]}"
+15877+66329,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.041882514193665,41.950750825080064]}"
+15878+66294,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04251497412213,41.928614727583806]}"
+15878+66297,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04251497412213,41.930512107369196]}"
+15880+66224,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.043779893979059,41.8843425325913]}"
+15880+66317,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.043779893979059,41.94316130593849]}"
+15882+66226,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.045044813835986,41.88560745244823]}"
+15882+66278,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.045044813835986,41.91849536872838]}"
+15883+66224,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04567727376445,41.8843425325913]}"
+15883+66293,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.045361043800218,41.927982267655345]}"
+15883+66311,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.045361043800218,41.9393665463677]}"
+15884+65747,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.046309733692915,41.58265914671377]}"
+15884+66227,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.046309733692915,41.88623991237669]}"
+15884+66285,4,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04567727376445,41.922606358263394]}"
+15884+66306,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.045993503728683,41.93620424672538]}"
+15885+63825,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04694219362138,40.36707116420518]}"
+15885+66290,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04694219362138,41.92608488786995]}"
+15886+66168,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.04694219362138,41.84892477659729]}"
+15886+66181,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.047574653549844,41.85714675566733]}"
+15888+63826,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.048523343442541,40.36770362413365]}"
+15888+66166,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.048839573406774,41.847659856740364]}"
+15888+66187,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.048839573406774,41.86094151523812]}"
+15889+66209,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.049472033335238,41.87485563366433]}"
+15889+66304,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.049472033335238,41.93493932686845]}"
+15890+63827,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.050104493263701,40.36833608406211]}"
+15891+65752,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.050420723227933,41.5858214463561]}"
+15892+66168,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.05136941312063,41.84892477659729]}"
+15892+66170,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.051053183156398,41.85018969645422]}"
+15892+66210,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.051053183156398,41.87548809359279]}"
+15893+66169,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.052001873049095,41.849557236525754]}"
+15893+66206,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.051685643084863,41.87295825387894]}"
+15893+66249,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.052001873049095,41.90015403080291]}"
+15895+63829,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.053266792906024,40.36960100391904]}"
+15895+66249,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.053266792906024,41.90015403080291]}"
+15895+66277,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.053266792906024,41.91786290879991]}"
+15896+66210,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.053583022870257,41.87548809359279]}"
+15896+66247,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.053899252834489,41.89888911094598]}"
